epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,220.013,2.05365,3.56434,1.18222,0.01685,0.08825,0.0131,0.00534,1.71539,3.84677,1.18751,0.00024764,0.00024764,0.00024764
22,230.242,1.95615,3.54967,1.19116,0.03819,0.11808,0.0269,0.0083,1.73547,3.77431,1.19653,0.000251206,0.000251206,0.000251206
23,240.58,2.03572,3.56829,1.09726,0.04589,0.13901,0.03516,0.01248,1.76583,3.71056,1.20895,0.00025398,0.00025398,0.00025398
24,251.386,1.97717,3.58886,1.10962,0.05553,0.15865,0.04245,0.01661,1.79292,3.66392,1.2317,0.000255962,0.000255962,0.000255962
25,262.016,1.92961,3.52495,1.13959,0.06645,0.17366,0.05165,0.02086,1.82673,3.62286,1.2563,0.000257152,0.000257152,0.000257152
26,272.219,1.84646,3.43626,1.21628,0.0736,0.19644,0.05867,0.02722,1.83262,3.58023,1.25153,0.00025755,0.00025755,0.00025755
27,282.817,1.88846,3.45335,1.10676,0.09052,0.19972,0.06982,0.02996,1.80492,3.54286,1.22134,0.000257156,0.000257156,0.000257156
28,293.434,1.76597,3.46171,1.11603,0.09052,0.19972,0.06982,0.02996,1.80492,3.54286,1.22134,0.00025597,0.00025597,0.00025597
29,304.063,1.87777,3.30452,1.2543,0.09225,0.21054,0.07132,0.03027,1.76699,3.52594,1.18232,0.000253992,0.000253992,0.000253992
30,314.539,1.70367,3.36224,1.16248,0.09539,0.21091,0.07555,0.03041,1.77547,3.53393,1.16615,0.000251222,0.000251222,0.000251222
31,325.686,1.81955,3.36115,1.12212,0.09539,0.21091,0.07555,0.03041,1.77547,3.53393,1.16615,0.00024766,0.00024766,0.00024766
32,337.716,1.69126,3.3008,1.13871,0.08785,0.20746,0.06996,0.02862,1.78217,3.50184,1.16235,0.000243306,0.000243306,0.000243306
33,349.219,1.92977,3.36253,1.11761,0.09588,0.22039,0.07565,0.03045,1.74734,3.45214,1.15808,0.00023816,0.00023816,0.00023816
34,360.766,1.72571,3.31666,1.10184,0.09588,0.22039,0.07565,0.03045,1.74734,3.45214,1.15808,0.000232222,0.000232222,0.000232222
35,371.944,1.76651,3.23516,1.0542,0.08797,0.21759,0.07157,0.03008,1.7345,3.40266,1.16773,0.000225492,0.000225492,0.000225492
36,383.975,1.71092,3.29954,1.09618,0.08796,0.22016,0.07157,0.02959,1.76664,3.37731,1.1929,0.00021797,0.00021797,0.00021797
37,395.585,1.73068,3.29444,1.03835,0.08796,0.22016,0.07157,0.02959,1.76664,3.37731,1.1929,0.000209656,0.000209656,0.000209656
38,406.657,1.75829,3.20351,1.07563,0.08733,0.21757,0.07089,0.02962,1.78444,3.37002,1.20619,0.00020055,0.00020055,0.00020055
39,418.386,1.77054,3.17342,1.12736,0.0897,0.22047,0.07246,0.03067,1.78162,3.36249,1.20339,0.000190652,0.000190652,0.000190652
40,429.778,1.69409,3.22264,1.08199,0.0897,0.22047,0.07246,0.03067,1.78162,3.36249,1.20339,0.000179962,0.000179962,0.000179962
41,439.611,1.71599,3.08182,1.09979,0.09725,0.23376,0.07995,0.03433,1.7458,3.3305,1.17235,0.00016848,0.00016848,0.00016848
42,449.356,1.74213,3.11383,1.17076,0.09651,0.23488,0.07854,0.0346,1.71945,3.33706,1.13784,0.000156206,0.000156206,0.000156206
43,459.249,1.59807,3.07589,1.10906,0.09651,0.23488,0.07854,0.0346,1.71945,3.33706,1.13784,0.00014314,0.00014314,0.00014314
44,468.665,1.64826,3.0352,1.08939,0.09311,0.2313,0.0785,0.03424,1.68669,3.33636,1.10745,0.000129282,0.000129282,0.000129282
45,478.446,1.73603,3.02974,1.137,0.09311,0.2313,0.0785,0.03424,1.68669,3.33636,1.10745,0.000114632,0.000114632,0.000114632
46,488.276,1.71012,2.96258,1.06643,0.10358,0.25175,0.08647,0.03635,1.66423,3.30381,1.08464,9.919e-05,9.919e-05,9.919e-05
47,497.634,1.72021,2.96716,1.07305,0.10358,0.25175,0.08647,0.03635,1.66423,3.30381,1.08464,8.2956e-05,8.2956e-05,8.2956e-05
48,507.181,1.73027,2.99359,1.15405,0.11157,0.25786,0.0919,0.03813,1.63607,3.25603,1.07031,6.593e-05,6.593e-05,6.593e-05
49,517.216,1.72477,2.94856,1.08861,0.11157,0.25786,0.0919,0.03813,1.63607,3.25603,1.07031,4.8112e-05,4.8112e-05,4.8112e-05
50,527.247,1.54806,2.978,1.08698,0.10892,0.25449,0.09067,0.03882,1.6138,3.20672,1.06198,2.9502e-05,2.9502e-05,2.9502e-05
