Page,Enrollment Number,Image,Predicted Answers,Correctness,Answer Key,Total Score
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,b,❌,c,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,a,❌,e,34
2,202439002,test_2_page_045.jpg,d,❌,c,34
2,202439002,test_2_page_045.jpg,a,❌,d,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,c,34
2,202439002,test_2_page_045.jpg,b,❌,e,34
2,202439002,test_2_page_045.jpg,a,❌,e,34
2,202439002,test_2_page_045.jpg,D,✅,d,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,c,❌,b,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,c,❌,b,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,a,❌,e,34
2,202439002,test_2_page_045.jpg,e,❌,c,34
2,202439002,test_2_page_045.jpg,b,❌,c,34
2,202439002,test_2_page_045.jpg,D,✅,d,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
2,202439002,test_2_page_045.jpg,c,❌,b,34
2,202439002,test_2_page_045.jpg,a,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,c,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,b,❌,d,34
2,202439002,test_2_page_045.jpg,c,❌,a,34
2,202439002,test_2_page_045.jpg,B,✅,b,34
